===== DPKG PACKAGE INVENTORY =====
7zip	23.01+dfsg-11
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.91-0ubuntu0.24.04.1
docbook-xml	4.5-12
docker-buildx-plugin	0.37.0-1~ubuntu.24.04~noble
docker-ce	5:29.8.0-1~ubuntu.24.04~noble
docker-ce-cli	5:29.8.0-1~ubuntu.24.04~noble
docker-ce-rootless-extras	5:29.8.0-1~ubuntu.24.04~noble
docker-compose-plugin	5.5.1-1~ubuntu.24.04~noble
docker-desktop	4.76.0-228118
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
dpkg-repack	1.52
dracut-install	060+5-1ubuntu3.3
drawing	1.0.2-1build1
dvdbackup	0.4.2-4.1build2
dwz	0.15-1build6
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
ecryptfs-utils	111-6ubuntu3
ed	1.20.1-1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.6
elementary-xfce-icon-theme	0.19-1
emacsen-common	3.0.5
enchant-2	2.3.3-2build2
espeak-ng	1.51+dfsg-12build1
espeak-ng-data:amd64	1.51+dfsg-12build1
ethtool	1:6.7-1build1
evince	46.3.1-0ubuntu1.1
evince-common	46.3.1-0ubuntu1.1
evolution-data-server	3.52.3-0ubuntu1.2
evolution-data-server-common	3.52.3-0ubuntu1.2
exfat-fuse	1.4.0-2
exfatprogs	1.2.2-1build1
exif	0.6.22-3build1
exo-utils	4.18.0-1build4
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.6
ffmpeg	7:6.1.1-3ubuntu5
ffmpegthumbnailer	2.2.2+git20240104+dfsg-1build1
file	1:5.45-3build1
file-roller	43.0+mint1+wilma
finalrd	9build1
findutils	4.9.0-5build1
fingwit	1.0.8+zena
firebird3.0-common	3.0.11.33703.ds4-2ubuntu2
firebird3.0-common-doc	3.0.11.33703.ds4-2ubuntu2
firebird3.0-server-core:amd64	3.0.11.33703.ds4-2ubuntu2
firebird3.0-utils	3.0.11.33703.ds4-2ubuntu2
firefox	155.0.1+linuxmint1+zena
firefox-locale-en	155.0.1+linuxmint1+zena
firmware-sof-signed	2023.12.1-1ubuntu1.11
flatpak	1.14.6-1ubuntu0.1
folder-color-switcher	1.7.1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-crosextra-caladea	20200211-2
fonts-crosextra-carlito	20230309-2
fonts-dejavu	2.37-8
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-freefont-ttf	20211204+svn4273-2
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-linuxlibertine	5.3.0-6
fonts-mathjax	2.7.9+dfsg-1
fonts-noto-cjk	1:20230817+repack1-3
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-extra	20201225-2
fonts-noto-mono	20201225-2
fonts-noto-ui-core	20201225-2
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.6
fonts-quicksand	0.2016-2.1
fonts-sil-gentium	20081126:1.03-4
fonts-sil-gentium-basic	1.102-1.1
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
fonts-wine	9.0~repack-4build3
foomatic-db-compressed-ppds	20230202-1
fprintd	1.94.3-1
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fuseiso	20070708-3.2build3
fwupd	2.0.20-1ubuntu2~24.04.2
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gamemode	1.8.1-2build1
gamemode-daemon	1.8.1-2build1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-14-base:i386	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdb	15.1-1ubuntu1~24.04.1
gdisk	1.0.10-1build1
genisoimage	9:1.1.11-3.5
geoclue-2.0	2.7.0-3ubuntu7
geocode-glib-common	3.26.3-6build3
geoip-database	20240403-1ubuntu1
gettext	0.21-14ubuntu2
gettext-base	0.21-14ubuntu2
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-accountsservice-1.0:amd64	23.13.9-2ubuntu6.1
gir1.2-atk-1.0:amd64	2.52.0-1build1
gir1.2-atspi-2.0:amd64	2.52.0-1build1
gir1.2-ayatanaappindicator3-0.1	0.5.93-1build3
gir1.2-camel-1.2:amd64	3.52.3-0ubuntu1.2
gir1.2-caribou-1.0	0.4.21-9build1
gir1.2-cinnamondesktop-3.0	6.6.2+zena
gir1.2-clutter-1.0:amd64	1.26.4+git2779b932+dfsg-7build3
gir1.2-clutter-gst-3.0:amd64	3.0.27-4build1
gir1.2-cmenu-3.0	6.6.0+zena
gir1.2-cogl-1.0:amd64	1.22.8-4ubuntu4
gir1.2-coglpango-1.0:amd64	1.22.8-4ubuntu4
gir1.2-cvc-1.0	6.6.2+zena
gir1.2-dbusmenu-glib-0.4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-dee-1.0:amd64	1.2.7+17.10.20170616-7build5
gir1.2-ecal-2.0:amd64	3.52.3-0ubuntu1.2
gir1.2-edataserver-1.2:amd64	3.52.3-0ubuntu1.2
gir1.2-flatpak-1.0:amd64	1.14.6-1ubuntu0.1
gir1.2-freedesktop:amd64	1.80.1-1
gir1.2-gck-1:amd64	3.41.2-1build3
gir1.2-gcr-3:amd64	3.41.2-1build3
gir1.2-gdesktopenums-3.0:amd64	46.1-0ubuntu1
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.3
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-gkbd-3.0:amd64	3.28.1-1build3
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8
gir1.2-gnomedesktop-3.0:amd64	44.0-5build2
gir1.2-graphene-1.0:amd64	1.10.8-3build2
gir1.2-gsound-1.0:amd64	1.0.3-3.2build2
gir1.2-gspell-1:amd64	1.12.2-1build4
gir1.2-gst-plugins-base-1.0:amd64	1.24.2-1ubuntu0.4
gir1.2-gstreamer-1.0:amd64	1.24.2-1ubuntu0.1
gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3
gir1.2-gtkclutter-1.0:amd64	1.8.4-4build5
gir1.2-gtksource-3.0:amd64	3.24.11-2build4
gir1.2-gtksource-4:amd64	4.8.4-5build4
gir1.2-gtop-2.0:amd64	2.41.3-1ubuntu0.24.04.1
gir1.2-gudev-1.0:amd64	1:238-5ubuntu1
gir1.2-handy-1:amd64	1.8.3-1build2
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2
gir1.2-ibus-1.0:amd64	1.5.29-2
gir1.2-ical-3.0:amd64	3.0.17-1.1build3
gir1.2-javascriptcoregtk-4.1:amd64	2.52.6-0ubuntu0.24.04.1
gir1.2-json-1.0:amd64	1.8.0-2build2
gir1.2-keybinder-3.0	0.3.2-1.1build2
gir1.2-matedesktop-2.0:amd64	1.26.2-1.1mint1+zara
gir1.2-matemenu-2.0:amd64	1.26.1+mint1
gir1.2-matepanelapplet-4.0:amd64	1.27.1-2build3
gir1.2-meta-muffin-0.0:amd64	6.6.3+zena
gir1.2-nemo-3.0	6.6.3+zena
gir1.2-nm-1.0:amd64	1.46.0-1ubuntu2.8
gir1.2-nma-1.0:amd64	1.10.6+mint1+wilma
gir1.2-notify-0.7:amd64	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8+mint3+wilma
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1
gir1.2-peas-1.0:amd64	1.36.0-3build4
gir1.2-polkit-1.0	124-2ubuntu1.24.04.3
gir1.2-rb-3.0:amd64	3.4.7-2ubuntu6
gir1.2-secret-1:amd64	0.21.4-1build3
gir1.2-soup-2.4:amd64	2.74.3-6ubuntu1.7
gir1.2-soup-3.0:amd64	3.4.4-5ubuntu0.7
gir1.2-timezonemap-1.0:amd64	0.4.6-6ubuntu1
gir1.2-udisks-2.0:amd64	2.10.1-6ubuntu1.5
gir1.2-upowerglib-1.0:amd64	1.90.3-1
gir1.2-vte-2.91:amd64	0.76.0-1ubuntu0.1
gir1.2-webkit2-4.1:amd64	2.52.6-0ubuntu0.24.04.1
gir1.2-wnck-3.0:amd64	43.0-3build4
gir1.2-xapp-1.0	3.2.3+zena
gir1.2-xkl-1.0:amd64	5.4-5build2
gir1.2-xmlb-2.0:amd64	0.3.24-1~ubuntu0.24.04.1
gir1.2-xreader	4.6.5+wilma
gir1.2-xviewer-3.0	3.4.16+zena
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gkbd-capplet	3.28.1-1build3
glib-networking:amd64	2.80.0-1build1
glib-networking:i386	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
gnome-accessibility-themes	3.28-2ubuntu5
gnome-calculator	1:41.1+mint1+wilma
gnome-calendar	46.1-1mint2+zara
gnome-desktop3-data	44.0-5build2
gnome-disk-utility	46.0-1ubuntu3
gnome-font-viewer	46.0-1build1
gnome-keyring	46.1-2ubuntu0.2
gnome-keyring-pkcs11:amd64	46.1-2ubuntu0.2
gnome-menus	3.36.0-1.1ubuntu3
gnome-online-accounts	3.50.4-0ubuntu2
gnome-online-accounts-gtk	3.50.10+zena
gnome-power-manager	43.0-2build2
gnome-screenshot	41.0+mint2+wilma
gnome-session-canberra	0.30-10ubuntu10
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1
gnome-system-monitor	46.0-1build1
gnome-terminal	3.52.0+mint2+xia
gnome-terminal-data	3.52.0+mint2+xia
gnome-themes-extra:amd64	3.28-2ubuntu5
gnome-themes-extra-data	3.28-2ubuntu5
gnupg	2.4.4-2ubuntu17.6
gnupg-utils	2.4.4-2ubuntu17.6
gpg	2.4.4-2ubuntu17.6
gpg-agent	2.4.4-2ubuntu17.6
gpgconf	2.4.4-2ubuntu17.6
gpgsm	2.4.4-2ubuntu17.6
gpgv	2.4.4-2ubuntu17.6
grep	3.11-4build1
greybird-gtk-theme	3.23.3-1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-efi-amd64-bin	2.12-1ubuntu7.3
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3
grub-gfxpayload-lists	0.7build2
grub-pc	2.12-1ubuntu7.3
grub-pc-bin	2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
gstreamer1.0-alsa:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-clutter-3.0:amd64	3.0.27-4build1
gstreamer1.0-gl:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-gtk3:amd64	1.24.2-1ubuntu1.5
gstreamer1.0-libav:amd64	1.24.1-1build1
gstreamer1.0-packagekit	1.2.8+mint3+wilma
gstreamer1.0-pipewire:amd64	1.0.5-1ubuntu3.3
gstreamer1.0-plugins-bad:amd64	1.24.2-1ubuntu4
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base:i386	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-good:amd64	1.24.2-1ubuntu1.5
gstreamer1.0-plugins-good:i386	1.24.2-1ubuntu1.5
gstreamer1.0-plugins-ugly:amd64	1.24.1-1build1
gstreamer1.0-tools	1.24.2-1ubuntu0.1
gstreamer1.0-vaapi:amd64	1.24.2-1
gstreamer1.0-x:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-x:i386	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine:amd64	0.98.2-4
gtk2-engines-pixbuf:amd64	2.24.33-4ubuntu1.1
gucharmap	1:15.1.3-1build1
gufw	24.04.0-2
gvfs:amd64	1.54.4-0ubuntu1~24.04.2
gvfs-backends	1.54.4-0ubuntu1~24.04.2
gvfs-common	1.54.4-0ubuntu1~24.04.2
gvfs-daemons	1.54.4-0ubuntu1~24.04.2
gvfs-fuse	1.54.4-0ubuntu1~24.04.2
gvfs-libs:amd64	1.54.4-0ubuntu1~24.04.2
gzip	1.12-1ubuntu3.2
handbrake-cli	1.7.2+ds1-1build2
hdparm	9.65+ds-1build1
heif-gdk-pixbuf:amd64	1.17.6-1ubuntu4.8
hfsprogs	540.1.linux3-5build3
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
hplip	3.23.12+dfsg0-0ubuntu5.1
hplip-data	3.23.12+dfsg0-0ubuntu5.1
html2text	1.3.2a-28
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
hwdata	0.379-1
hyphen-en-us	2.8.8-7build3
hypnotix	5.6
i965-va-driver:amd64	2.4.1+dfsg1-1ubuntu0.2
i965-va-driver:i386	2.4.1+dfsg1-1ubuntu0.2
ibus	1.5.29-2
ibus-data	1.5.29-2
ibus-gtk:amd64	1.5.29-2
ibus-gtk3:amd64	1.5.29-2
ibus-gtk4:amd64	1.5.29-2
id3	1.1.2-3build1
ideviceinstaller	1.1.1-1build4
ieee-data	20220827.1
ifuse	1.1.4~git20181007.3b00243-1ubuntu3
iio-sensor-proxy	3.5-1build2
im-config	0.57-2
imagemagick-6-common	8:6.9.12.98+dfsg1-5.2build2
inetutils-telnet	2:2.5-3ubuntu4.2
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
inputattach	1:1.8.1-2build1
install-info	7.1-3build2
intel-media-va-driver:amd64	24.1.0+dfsg1-1ubuntu0.2
intel-media-va-driver:i386	24.1.0+dfsg1-1ubuntu0.2
intel-microcode	3.20260210.0ubuntu0.24.04.1
intltool-debian	0.35.0+20060710.6
inxi	3.3.34-1-1
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.4
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
ipxe-qemu	1.21.1+git-20220113.fbbdc3926-0ubuntu2
ipxe-qemu-256k-compat-efi-roms	1.0.0+git-20150424.a25a16d-0ubuntu5
irqbalance	1.9.3-2ubuntu5
isc-dhcp-client	4.4.3-P1-4ubuntu2
isc-dhcp-common	4.4.3-P1-4ubuntu2
iso-codes	4.16.0-1
iso-flag-png	1.0.4
iucode-tool	2.3.1-3build1
java-common	0.75+exp1
javascript-common	11+nmu1
jfsutils	1.1.15-5build4
kbd	2.6.4-2ubuntu2
kerneloops	0.12+git20140509-6ubuntu8
keyboard-configuration	1.226ubuntu1.1
keyboxd	2.4.4-2ubuntu17.6
keyutils	1.6.3-3build1
klibc-utils	2.0.13-4ubuntu0.2
kmod	31+20240202-2ubuntu7.2
kpartx	0.9.4-5ubuntu8.2
kpartx-boot	0.9.4-5ubuntu8.2
krb5-locales	1.20.1-6ubuntu2.8
language-pack-en	1:24.04+20260127
language-pack-en-base	1:24.04+20260127
language-pack-gnome-en	1:24.04+20260127
language-pack-gnome-en-base	1:24.04+20260127
laptop-detect	0.16
less	590-2ubuntu2.1
liba52-0.7.4:amd64	0.7.4-20build1
libaa1:amd64	1.4p5-51.1
libaa1:i386	1.4p5-51.1
libabsl20220623t64:amd64	20220623.1-3.1ubuntu3.2
libabw-0.1-1:amd64	0.1.3-1build4
libaccountsservice0:amd64	23.13.9-2ubuntu6.1
libacl1:amd64	2.3.2-1build1.1
libadwaita-1-0:amd64	1.5.0-2mint3+zara
libaio1t64:amd64	0.3.113-6build1.1
libao-common	1.2.2+20180113-1.1ubuntu4
libao4:amd64	1.2.2+20180113-1.1ubuntu4
libaom3:amd64	3.8.2-2ubuntu0.1
libaom3:i386	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.7
libapparmor1:i386	4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5:amd64	1.0.2-1build6
libapt-pkg6.0t64:amd64	2.8.3
libarchive-cpio-perl	0.10-3
libarchive-zip-perl	1.68-1
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libargon2-1:amd64	0~20190702+dfsg-4build1
libaribb24-0t64:amd64	1.0.3-2.1build2
libaribb24-0t64:i386	1.0.3-2.1build2
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.3
libasound2-plugins:amd64	1.2.7.1-1ubuntu5
libasound2-plugins:i386	1.2.7.1-1ubuntu5
libasound2t64:amd64	1.2.11-1ubuntu0.3
libasound2t64:i386	1.2.11-1ubuntu0.3
libaspell15:amd64	0.60.8.1-1build1
libass9:amd64	1:0.17.1-2build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libasyncns0:i386	0.8-6build4
libatasmart4:amd64	0.19-5build3
libatk-adaptor:amd64	2.52.0-1build1
libatk-bridge2.0-0t64:amd64	2.52.0-1build1
libatk-bridge2.0-0t64:i386	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni:amd64	0.40.0-3build2
libatk1.0-0t64:amd64	2.52.0-1build1
libatk1.0-0t64:i386	2.52.0-1build1
libatkmm-1.6-1v5:amd64	2.28.4-1build4
libatm1t64:amd64	1:2.5.1-5.1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libatomic1:i386	14.2.0-4ubuntu2~24.04.1
libatopology2t64:amd64	1.2.11-1ubuntu0.3
libatspi2.0-0t64:amd64	2.52.0-1build1
libatspi2.0-0t64:i386	2.52.0-1build1
libattr1:amd64	1:2.5.2-1ubuntu0.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3:amd64	0.8-13ubuntu6.2
libavahi-client3:i386	0.8-13ubuntu6.2
libavahi-common-data:amd64	0.8-13ubuntu6.2
libavahi-common-data:i386	0.8-13ubuntu6.2
libavahi-common3:amd64	0.8-13ubuntu6.2
libavahi-common3:i386	0.8-13ubuntu6.2
libavahi-core7:amd64	0.8-13ubuntu6.2
libavahi-glib1:amd64	0.8-13ubuntu6.2
libavc1394-0:amd64	0.5.4-5build3
libavc1394-0:i386	0.5.4-5build3
libavcodec-extra:amd64	7:6.1.1-3ubuntu5
libavcodec-extra60:amd64	7:6.1.1-3ubuntu5
libavcodec-extra60:i386	7:6.1.1-3ubuntu5
libavdevice60:amd64	7:6.1.1-3ubuntu5
libavfilter9:amd64	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5
libavtp0:amd64	0.2.0-1build1
libavutil58:amd64	7:6.1.1-3ubuntu5
libavutil58:i386	7:6.1.1-3ubuntu5
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0:amd64	0.10.1-1build2
libayatana-indicator3-7:amd64	0.9.4-1build1
libbabeltrace1:amd64	1.5.11-3build3
libbinutils:amd64	2.42-4ubuntu2.10
libblas3:amd64	3.12.0-3build1.1
libblkid1:amd64	2.39.3-9ubuntu6.6
libblkid1:i386	2.39.3-9ubuntu6.6
libblockdev-crypto3:amd64	3.1.1-1ubuntu0.1
libblockdev-fs3:amd64	3.1.1-1ubuntu0.1
libblockdev-loop3:amd64	3.1.1-1ubuntu0.1
libblockdev-mdraid3:amd64	3.1.1-1ubuntu0.1
libblockdev-nvme3:amd64	3.1.1-1ubuntu0.1
libblockdev-part3:amd64	3.1.1-1ubuntu0.1
libblockdev-swap3:amd64	3.1.1-1ubuntu0.1
libblockdev-utils3:amd64	3.1.1-1ubuntu0.1
libblockdev3:amd64	3.1.1-1ubuntu0.1
libbluetooth3:amd64	5.72-0ubuntu5.5
libbluray2:amd64	1:1.3.4-1build1
libboost-iostreams1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0:amd64	1.83.0-2.1ubuntu3.2
libbpf1:amd64	1:1.3.0-2build2
libbrasero-media3-1:amd64	3.12.3-2build4
libbrlapi0.8:amd64	6.6-4ubuntu5
libbrotli1:amd64	1.1.0-2build2
libbrotli1:i386	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1
libbsd0:amd64	0.12.1-1build1.1
libbsd0:i386	0.12.1-1build1.1
libbsh-java	2.0b4-20
libburn4t64:amd64	1.5.6-1.1build1
libbytesize-common	2.10-1ubuntu2
libbytesize1:amd64	2.10-1ubuntu2
libbz2-1.0:amd64	1.0.8-5.1ubuntu0.1
libbz2-1.0:i386	1.0.8-5.1ubuntu0.1
libc-bin	2.39-0ubuntu8.8
